Reference,SiteID,Treatment,Treatment description,Latitude,Longitude,elevation_m,DataLevel,PubYear,StudyYear,Fertilizer_Type,Avg_Fert_N_Rate_kgNha,Land_Type,Country,Location,MeanPrec_mm,MeanTemp_c,Soil_Type_Pub,Soil_Type,Sand,Silt,Clay,soilC_perc,soilN_perc,pH,CEC,BD,Drainage,Precrop,Crop,Residues,soil_tillage,Irrigation,Liming,Study_Fertilizer_type,Fertilizer_additives,Appl_time,Appl_Mode,No_Appl,OMAD_applied,OMAD_Type,OMAD_Kg_N_ha,OMAD_CN,Total_kg_N_ha,N2OSampleMethod,Chamber_size_m3,chmbr_measurement_length_minutes,DM_crop_yield_t_ha,avg_Biomass_yield_t_ha
scheer.14,Kingsthorpe,KT_60%_irrigation,MI - KT_60%_irrigation - deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2013,2009-2010,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15,1.7,7.2,NA,0.9,NA,NA,cotton,NA,n,y,NA,urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,1.07,NA
scheer.14,Kingsthorpe,KT_85%_irrigation,LI - KT_85%_irrigation - deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,-27.48,151.81,431,1,2013,2009-2010,Urea,200,cropland,Australia,DEEDI Kingsthorpe research station,630,21.8,NA,Clay,7,16,76,15.5,1.8,7.2,NA,0.9,NA,NA,cotton,NA,n,y,NA,urea,NA,winter,NA,3,NA,NA,NA,NA,NA,auto chamber,0.25,54,0.73,NA
scheer.inhib,Kingsthorpe,Entec,Entec- urea + DMPP,-27.31,151.47,431,1,2016,2012-2013,urea and DMPP,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,DMPP,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.7,NA
scheer.inhib,Kingsthorpe,eNtrench,eNtrench - urea + Nitrapyrin,-27.31,151.47,431,1,2016,2012-2013,urea and Nitrapyrin,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,Nitrapyin,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.1,NA
scheer.inhib,Kingsthorpe,Poly,Poly - PCU_polymer-coated urea,-27.31,151.47,431,1,2016,2012-2013,polymer urea,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.2,NA
scheer.inhib,Kingsthorpe,Urea,Urea,-27.31,151.47,431,1,2016,2012-2013,urea,170,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,6.2,NA
scheer.inhib,Kingsthorpe,zeroN,zeroN - control 0N,-27.31,151.47,431,1,2016,2012-2013,NA,0,cropland,Australia,Queensland,630,21.8,NA,NA,NA,NA,NA,1.65,1.15,7.1,NA,0.9,NA,NA,sorghum-barley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,auto chamber,0.25,54,2,NA
Hoeglwald,Hoeglwald,spruce,spruce - spruce forest,48.5,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kelly.24.27,Terang,T3,urine @ 1000 kg N/ha applied 11 September 2009,-38.14,142.55,NA,NA,NA,2009-2010,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pasture,NA,NA,NA,NA,Urine applied in September,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kelly.24.27,Terang,T4,urine @ 1000 kg N/ha applied 11 September 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,-38.14,142.55,NA,NA,NA,2009-2010,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urine in Sep plus DCD applied in Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kelly.24.27,Terang,T5,urine @ 1000 kg N/ha applied 14 August 2009,-38.14,142.55,NA,NA,NA,2009-2010,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urine applied in Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kelly.24.27,Terang,T6,urine @ 1000 kg N/ha applied 14 August 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,-38.14,142.55,NA,NA,NA,2009-2010,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urine in Aug plus DCD in Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kelly.30.33,Terang,T1,nil applied,-38.24,142.92,NA,NA,NA,2010-2011,NA,NA,NA,Australia,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
