Reference,SiteID,Treatment,Treatment description,Latitude,Longitude,elevation_m,DataLevel,PubYear,StudyYear,Fertilizer_Type,Avg_Fert_N_Rate_kgNha,Land_Type,Country,Location,MeanPrec_mm,MeanTemp_c,Soil_Type_Pub,Soil_Type,Sand,Silt,Clay,soilC_perc,soilN_perc,pH,CEC,BD,Drainage,Precrop,Crop,Residues,soil_tillage,Irrigation,Liming,Study_Fertilizer_type,Fertilizer_additives,Appl_time,Appl_Mode,No_Appl,OMAD_applied,OMAD_Type,OMAD_Kg_N_ha,OMAD_CN,Total_kg_N_ha,N2OSampleMethod,Chamber_size_m3,chmbr_measurement_length_minutes,DM_crop_yield_t_ha,avg_Biomass_yield_t_ha
MTSIFERE,Bozeman,CHEM-CA,"herbicide application for weed control, with continuous alfalfa",45.6686,-111.2,1468,NA,2013,2009-2011,NA,NA,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,alfalfa,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,6.407
MTSIFERE,Bozeman,CHEM-CA_ms,"herbicide application for weed control, with continuous alfalfa",45.6686,-111.2,1468,NA,2013,2009-2011,NA,NA,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,Miscanthus,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
MTSIFERE,Bozeman,CHEM-CSW,"herbicide application for weed control, with continuous spring wheat",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,202,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,7.245
MTSIFERE,Bozeman,CHEM-WP/BF_w,"herbicide application for weed control, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,5.632
MTSIFERE,Bozeman,CHEM-WP/BF_f,"herbicide application for weed control, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
MTSIFERE,Bozeman,CHEM-WP/BF_pb,"herbicide application for weed control, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
MTSIFERE,Bozeman,GRAZ-CA,"sheep grazing, with continuous alfalfa",45.6686,-111.2,1468,NA,2013,2009-2011,NA,NA,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,alfalfa,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,7.387
MTSIFERE,Bozeman,GRAZ-CA_ms,"sheep grazing, with continuous alfalfa",45.6686,-111.2,1468,NA,2013,2009-2011,NA,NA,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,Miscanthus,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
MTSIFERE,Bozeman,GRAZ-CSW,"sheep grazing, with continuous spring wheat",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,202,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,6.366
MTSIFERE,Bozeman,GRAZ-WP/BF_w,"sheep grazing, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,4.75
MTSIFERE,Bozeman,GRAZ-WP/BF_f,"sheep grazing, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
MTSIFERE,Bozeman,GRAZ-WP/BF_pb,"sheep grazing, with spring wheat-pea/barley-fallow",45.6686,-111.2,1468,NA,2013,2009-2011,Urea,252,cropland,USA,"Bozeman, MT",465,7,Blackmore silt loam,NA,25,50,25,NA,NA,6.7,NA,NA,NA,NA,spring wheat-pea/barley-fallow,NA,nt,no,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,0.1256,20,NA,NA
NDMAGWP,Mandan_GWP,MGP,moderately grazed pasture,46.77,-100.91,502,NA,2010,2003-2006,NA,NA,grassland,USA,"Mandan, ND",410,4,Temvik-Wilton silt loams,NA,28,54,18,NA,NA,6.3,NA,1.19,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAGWP,Mandan_GWP,HGP,heavily grazed pasture,46.77,-100.91,502,NA,2010,2003-2006,NA,NA,grassland,USA,"Mandan, ND",410,4,Temvik-Wilton silt loams,NA,28,54,18,NA,NA,6.3,NA,1.22,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAGWP,Mandan_GWP,CWP,crested wheatgrass pasture,46.77,-100.91,502,NA,2010,2003-2006,NA,45,grassland,USA,"Mandan, ND",410,4,Temvik-Wilton silt loams,NA,28,54,18,NA,NA,6.3,NA,1.26,NA,NA,grass,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAHGPE,Mandan_EXC,Urine,urine from a mature Hereford cow given tap water,46.7708,-100.9157,567.35,NA,2007,2005,urine,336,pasture,USA,"Mandan, ND",407,4,Temvik-Wilton silt loam,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,native vegetation pasture,NA,NA,no,NA,Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAHGPE,Mandan_EXC,Tannin urine,urine from the same cow given a mixture of tap water and quebracho tannin,46.7708,-100.9157,567.35,NA,2007,2005,urine,221,pasture,USA,"Mandan, ND",407,4,Temvik-Wilton silt loam,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,native vegetation pasture,NA,NA,no,NA,Tannin urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAHGPE,Mandan_EXC,NH4NO3,ammonium nitrate,46.7708,-100.9157,567.35,NA,2007,2005,NH4NO3,336,pasture,USA,"Mandan, ND",407,4,Temvik-Wilton silt loam,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,native vegetation pasture,NA,NA,no,NA,NH4NO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMAHGPE,Mandan_EXC,control,no application,46.7708,-100.9157,567.35,NA,2007,2005,NA,NA,pasture,USA,"Mandan, ND",407,4,Temvik-Wilton silt loam,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,native vegetation pasture,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,15,NA,NA
NDMASQMF,Mandan_Fallow,Fallow,Spring wheat-fallow,46.77,-100.91,591,NA,2010,2006-2008,NH4NO3,110,cropland,USA,"Mandan, ND",410,4,Temvik-Wilton silt loams,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,Spring wheat-fallow,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,20,NA,NA
NDMASQMF,Mandan_Fallow,SR,Spring wheat-safflower-Rye (fallow),46.77,-100.91,591,NA,2010,2006-2008,NH4NO3,110,cropland,USA,"Mandan, ND",410,4,Temvik-Wilton silt loams,NA,28,54,18,NA,NA,6.3,NA,NA,NA,NA,Spring wheat-safflower-Rye (fallow),NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,3.14E-02,20,NA,NA
ALAUSDR,Auburn,CT,conventional tillage,32.4,-85.53,66,NA,2009,2004-2006,NA,NA,cropland,USA,"Shorter, AL",1360,17.5,"Typic, Oxyaquic, and Aquic Paleudults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cotton-corn-cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,4.00E-03,NA,NA,NA
ALAUSDR,Auburn,CTM,conventional tillage + dairy manure,32.4,-85.53,66,NA,2009,2004-2006,dairy manure,NA,cropland,USA,"Shorter, AL",1360,17.5,"Typic, Oxyaquic, and Aquic Paleudults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cotton-corn-cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,4.00E-03,NA,NA,NA
ALAUSDR,Auburn,CsT,conservation tillage,32.4,-85.53,66,NA,2009,2004-2006,NA,NA,cropland,USA,"Shorter, AL",1360,17.5,"Typic, Oxyaquic, and Aquic Paleudults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cotton-corn-cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,4.00E-03,NA,NA,NA
ALAUSDR,Auburn,CsTM,conservation tillage + dairy manure,32.4,-85.53,66,NA,2009,2004-2006,dairy manure,NA,cropland,USA,"Shorter, AL",1360,17.5,"Typic, Oxyaquic, and Aquic Paleudults",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cotton-corn-cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,static chamber,4.00E-03,NA,NA,NA
INWLTPAC,Lafayette,Bare,bare field,40.4722,-86.998,200,NA,2011,2003-2007,NA,NA,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_before_cs,"no-till, all fertilizer applied before planting",40.4722,-86.998,200,NA,2011,2003-2007,NA,NA,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_before_sc,"no-till, all fertilizer applied before planting",40.4722,-86.998,200,NA,2011,2003-2007,NA,NA,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,CT_cs,"Conventional tillage, corn-soybean",40.4722,-86.998,200,NA,2011,2003-2007,UAN/DAP,193,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corn-soybean,NA,ct,no,NA,UAN/DAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,CT_sc,"Conventional tillage, soybean-corn",40.4722,-86.998,200,NA,2011,2003-2007,UAN/DAP,193,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soybean-corn,NA,ct,no,NA,UAN/DAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT,no tillage,40.4722,-86.998,200,NA,2011,2003-2007,UAN/DAP,193,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corn-soybean,NA,nt,no,NA,UAN/DAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_cover crop_cs,no tillage with annual ryegrass planted,40.4722,-86.998,200,NA,2011,2003-2007,UAN/DAP,193,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corn-soybean,NA,nt,no,NA,UAN/DAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_cover crop_sc,no tillage with annual ryegrass planted,40.4722,-86.998,200,NA,2011,2003-2007,UAN/DAP,193,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soybean-corn,NA,nt,no,NA,UAN/DAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_split_cs,no tillage with half of the N fertilizer applied at the time of planting and the remainder sidedressed post-emergence,40.4722,-86.998,200,NA,2011,2003-2007,UAN,168,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corn-soybean,NA,nt,no,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,NT_split_sc,no tillage with half of the N fertilizer applied at the time of planting and the remainder sidedressed post-emergence,40.4722,-86.998,200,NA,2011,2003-2007,UAN,168,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soybean-corn,NA,nt,no,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,PT_cs,precision tillage with all N fertilizer placed at the time of planting,40.4722,-86.998,200,NA,2011,2003-2007,UAN,107,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,corn-soybean,NA,ct,no,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,PT_sc,precision tillage with all N fertilizer placed at the time of planting,40.4722,-86.998,200,NA,2011,2003-2007,UAN,107,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soybean-corn,NA,ct,no,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,native grass,Indian grass,40.4722,-86.998,200,NA,2011,2003-2007,NA,NA,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,NA,nt,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,biomass_mow+till,sorghum-sudangrass that was mowed once and tilled approximately 1 October each year,40.4722,-86.998,200,NA,2011,2003-2007,urea,135.5,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sorghum-sudangrass,NA,nt,no,NA,urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,biomass_remove2,sorghum-sudangrass with the biomass removed twice annually,40.4722,-86.998,200,NA,2011,2003-2007,urea,135.5,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sorghum-sudangrass,NA,nt,no,NA,urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
INWLTPAC,Lafayette,biomass_mow2,sorghum-sudangrass with the biomass mowed twice annually but not removed,40.4722,-86.998,200,NA,2011,2003-2007,urea,135.5,cropland,USA,"Lafayette, IN",937,10.1,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sorghum-sudangrass,NA,nt,no,NA,urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,vented chamber,3.13E-02,15,NA,NA
IDKM,Kimberly,control,no fertilizer,41.524,-114.3715,1200,NA,2017,2013-2015,NA,0,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,10.3263,NA
IDKM,Kimberly,urea,granular urea,41.524,-114.3715,1200,NA,2017,2013-2015,urea,84,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,11.0127,NA
IDKM,Kimberly,SuperU,SuperU,41.524,-114.3715,1200,NA,2017,2013-2015,SuperU,84,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,SuperU,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,11.178,NA
IDKM,Kimberly,compost+urea,composted dairy manure applied in the fall and granular urea applied in the spring,41.524,-114.3715,1200,NA,2017,2013-2015,manure+urea,271,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,manure+urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,11.0297,NA
IDKM,Kimberly,fall manure,dairy manure applied in the fall,41.524,-114.3715,1200,NA,2017,2013-2015,manure,753,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,manure,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,11.5923,NA
IDKM,Kimberly,spring manure,dairy manure applied in the spring,41.524,-114.3715,1200,NA,2017,2013-2015,manure,503,cropland,USA,"Kimberly, ID",284,8.7,silt loam,NA,21,70,9,NA,NA,7.9,NA,1.3,NA,NA,barley-corn-alfalfa,-9999,ct,y,NA,manure,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.18E-02,15,12.05,NA
COFOARD1,ARDEC,NT0,"0 kg N/ha applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,NA,0,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT134,"134 kg N/ha applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,134,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT202,"202 kg N/ha applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,202,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT224,"224 kg N/ha applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,224,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT246ES/UR,"246 kg N/ha ESN/Urea applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,ESN/Urea,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,ESN/Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT246UA/ES,"246 kg N/ha UAN/ESN applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,UAN/ESN,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,UAN/ESN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,NT67,"67 kg N/ha applied, no-till",40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,67,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N246ES/UR,246 kg N/ha ESN/Urea applied,40.5592,-105.0781,1543,NA,2015,2003-2006,ESN/Urea,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,ESN/Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N246UA/ES,246 kg N/ha UAN/ESN applied,40.5592,-105.0781,1543,NA,2015,2003-2006,UAN/ESN,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,UAN/ESN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N224,224 kg N/ha applied,40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,224,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N0,0 kg N/ha applied,40.5592,-105.0781,1543,NA,2015,2003-2006,NA,0,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N67,67 kg N/ha applied,40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,67,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N134,134 kg N/ha applied,40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,134,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD1,ARDEC,N202,202 kg N/ha applied,40.5592,-105.0781,1543,NA,2015,2003-2006,UAN,202,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,y,NA,UAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD2,ARDEC,CT-CC 0,conventional-till continuous corn,40.5592,-105.0781,1535,NA,2010,2007-2008,NA,NA,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD2,ARDEC,CT-CC 246U,"conventional-till continuous corn, Urea applied",40.5592,-105.0781,1535,NA,2010,2007-2008,Urea,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,Y,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD2,ARDEC,CT-CC 246ESN,"conventional-till continuous corn, ESN applied",40.5592,-105.0781,1535,NA,2010,2007-2008,ESN,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,ct,Y,NA,ESN,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD2,ARDEC,NT-CC 0,no-till continuous corn,40.5592,-105.0781,1535,NA,2010,2007-2008,NA,NA,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
COFOARD2,ARDEC,NT-CC 246U,"no-till continuous corn, urea applied",40.5592,-105.0781,1535,NA,2010,2007-2008,Urea,246,cropland,USA,"Fort Collins, CO",402,9.6,clay loam,NA,41,26,33,NA,NA,7.75,NA,NA,NA,NA,corn,NA,nt,Y,NA,Urea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vented , non-steady-state, closed chamber",3.10E-02,15,NA,NA
