SiteName,TreatmentName,Latitude,Longitude,ExperimentName,FluxInstrument,TreatmentDescription,Citation,Management,Sand,Silt,Clay,N2O_Measurements
Terang,t3,-38.24,142.92,kelly.38,auto chamber,"urine @ 1000 kg N/ha applied to 25% of the chamber base 17 Sept 2012, 22 Nov 2012 and 16 May 2013 and with DCD @10 kg a.i./ha applied as surface spray on 17 Sept 2012 and again 16 May 2013",http://www.N2O.net.au/knb/metacat/kelly.38.26/html,Organic,53.0,24.0,16.0,297
Terang,t4,-38.24,142.92,kelly.38,auto chamber,"urine @ 1000 kg N/ha applied to 25% of the chamber base 17 Sept 2012, 22 Nov 2012, and 16 May 2013 with DCD is mixed in with urine at each application at a rate equivalent to 20 kg a.i./ha",http://www.N2O.net.au/knb/metacat/kelly.38.26/html,Organic,53.0,24.0,16.0,297
Terang,t2,-38.24,142.92,kelly.52,auto chamber,urine @1000 kgN/ha applied 19 September 2013,,Organic,53.0,24.0,16.0,279
Terang,t3,-38.24,142.92,kelly.52,auto chamber,urine @ 1000 kg N/ha applied 19 September 2013 with nitrapyrin sprayed on after application of urine at 1 kg a.i./ha,,Organic,53.0,24.0,16.0,279
Terang,t4,-38.24,142.92,kelly.52,auto chamber,fresh dairy cow dung aiming to apply equivalent to 400 kg N/ha applied as three dung pads as circles each of 0.25 m diameter on 19 September 2013,,Conventional,53.0,24.0,16.0,279
Terang,t1,-38.24,142.92,kelly.52,auto chamber,nil applied,,Zero Input,53.0,24.0,16.0,279
Buntine,om.plus.urea,-29.987,116.5687,barton.79,auto chamber,Orgain matter and Urea added,doi.org/10.1016/j.agee.2016.07.004,Conventional,,,,332
Buntine,om.no.urea,-29.987,116.5687,barton.79,auto chamber,"Orgain matter added, no Urea",doi.org/10.1016/j.agee.2016.07.004,Conventional,,,,330
Buntine,no.om.no.urea,-29.987,116.5687,barton.79,auto chamber,No organic matter and Urea added,doi.org/10.1016/j.agee.2016.07.004,Conventional,,,,332
Buntine,no.om.plus.urea,-29.987,116.5687,barton.79,auto chamber,"Urea added, no organic matter",doi.org/10.1016/j.agee.2016.07.004,Conventional,,,,332
Wongan Hills,Lime.lw,-30.8374,116.7193,barton.52,auto chamber,fertilized lupin-wheat rotation with lime,doi.org/10.1016/j.agee.2013.01.003,Conventional,,,,720
Wongan Hills,No-Lime.lw,-30.8374,116.7193,barton.52,auto chamber,fertilized lupin-wheat rotation no lime,doi.org/10.1016/j.agee.2013.01.003,Conventional,,,,720
Wongan Hills,Lime.ww,-30.8374,116.7193,barton.52,auto chamber,fertilized wheat-wheat rotation with lime,doi.org/10.1016/j.agee.2013.01.003,Conventional,,,,720
Wongan Hills,No-Lime.ww,-30.8374,116.7193,barton.52,auto chamber,fertilized wheat-wheat rotation no lime,doi.org/10.1016/j.agee.2013.01.003,Conventional,,,,720
"Griffith, New South Wales",CONV_Irri,-34.324,146.068,quayle.39,auto chamber,conventional irrigation,doi.org/10.1071/SR15315,Conventional,,,,154
"Griffith, New South Wales",CONV_DMPP,-34.324,146.068,quayle.39,auto chamber,conventional irrigation with DMPP inhibitor,doi.org/10.1071/SR15315,Conventional,,,,154
"Griffith, New South Wales",RED_Irri,-34.324,146.068,quayle.39,auto chamber,reduced deficit irrigation,doi.org/10.1071/SR15315,Conventional,,,,154
"Griffith, New South Wales",RED_DMPP,-34.324,146.068,quayle.39,auto chamber,reduced deficit irrigation with DMPP inhibitor,doi.org/10.1071/SR15315,Conventional,,,,154
Willbriggie,30mm_Irri,-34.48,145.95,quayle.33,auto chamber,urea with 12 irrigation events of 30mm,doi.org/10.1016/j.agrformet.2015.04.010,Conventional,,,,123
Willbriggie,60mm_Irri,-34.48,145.95,quayle.33,auto chamber,urea with 6 irrigation events of 60 mm,doi.org/10.1016/j.agrformet.2015.04.010,Conventional,,,,123
Willbriggie,90mm_Irri,-34.48,145.95,quayle.33,auto chamber,urea with 4 irrigation events of 90 mm,doi.org/10.1016/j.agrformet.2015.04.010,Conventional,,,,123
Willbriggie,120mm_Irri,-34.48,145.95,quayle.33,auto chamber,urea with 3 irrigation events of 120 mm,doi.org/10.1016/j.agrformet.2015.04.010,Conventional,,,,123
"Griffith, New South Wales",Banna_Sand_Bare_Soil,-34.32,146.078,quayle.27,auto chamber,irrigated fallow,doi.org/10.1016/j.agrformet.2016.03.022,Conventional,,,,146
"Griffith, New South Wales",Banna_Sand_Wheat,-34.323,146.069,quayle.27,auto chamber,irrigated wheat,doi.org/10.1016/j.agrformet.2016.03.022,Conventional,,,,146
"Griffith, New South Wales",Hanwood_Loam_Bare_Soil,-34.323,146.069,quayle.27,auto chamber,irrigated fallow,,Conventional,,,,146
"Griffith, New South Wales",Hanwood_Loam_Wheat,-34.323,146.069,quayle.27,auto chamber,irrigated wheat,,Conventional,,,,144
"Griffith, New South Wales",Mundiwa_Clay_Loam_Bare_Soil,-34.323,146.069,quayle.27,auto chamber,irrigated fallow,,Conventional,,,,145
"Griffith, New South Wales",Mundiwa_Clay_Loam_Wheat,-34.603,146.382,quayle.27,auto chamber,irrigated wheat,doi.org/10.1016/j.agrformet.2016.03.022,Conventional,,,,145
Griffith,fertilizer,-34.3,146.03,quayle.10,auto chamber,bare soil + fertilizer twice - 65 kg/ha of urea,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,Conventional,,,,119
Griffith,bare,-34.3,146.03,quayle.10,auto chamber,bare soil treatment,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,Zero Input,,,,119
Griffith,stubbl,-34.3,146.03,quayle.10,auto chamber,wheat stubble treatment,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,Conventional,,,,118
Griffith,soybean,-34.3,146.03,quayle.10,auto chamber,"soybeans sown into wheat stubble, irrigation to meet soybean requirement",http://www.N2O.net.au/knb/metacat/quayle.10.19/html,Zero Input,,,,118
KBS,CT_soybeans,42.26,-85.19,Ruan_2013,static chamber,"conventional tillage used for soybean production, coming out of CRP land",https://doi.org/10.1111/gcb.12216,Zero Input,,,,27
KBS,NT_soybeans,42.26,-85.19,Ruan_2013,static chamber,"no till management used for soybean production, coming out of CRP land",https://doi.org/10.1111/gcb.12216,Zero Input,,,,27
KBS,CRP_reference,42.26,-85.19,Ruan_2013,static chamber,control CRP field,https://doi.org/10.1111/gcb.12216,Zero Input,,,,11
KBS,0,42.24,-85.24,Ruan_2016,static chamber,zero kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,28,42.24,-85.24,Ruan_2016,static chamber,twenty eight kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,56,42.24,-85.24,Ruan_2016,static chamber,fifty six kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,84,42.24,-85.24,Ruan_2016,static chamber,eighty four kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,112,42.24,-85.24,Ruan_2016,static chamber,one hundred and twelve kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,140,42.24,-85.24,Ruan_2016,static chamber,one hundred and forty kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,168,42.24,-85.24,Ruan_2016,static chamber,one hundred and sixty eight kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
KBS,196,42.24,-85.24,Ruan_2016,static chamber,one hundred and ninety six kilograms per hectare per year of nitrogen fertilizer applied,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064007,Conventional,,,,32
